display  D   display_settings.c:212  debug_display_settings           [   0.15329] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.15340] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.15349] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.15360] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.15369] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.15381] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.15390] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.15401] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.15410] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.15421] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.15430] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.15441] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.15450] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.15462] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.15471] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.15482] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.15491] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.15502] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.15511] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.15522] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.15531] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.15542] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.15551] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.15563] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.15572] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.15583] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18550] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.18566] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18576] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18587] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18596] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
